Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Costa Rica,,,,,,,,,,,,0.5,0.6,0.6,0.7,0.7,0.8,0.8,,,,,,,7.1,35.5,46.02,67.18,92.95,122.453549,142.276147,140.675,147.422332,192.289749,191.626555,209.02905,246.3434294,271.4142814,268.618172,238.5982,259.382912,290.5433583,346.0354328,402.6046371,419.2228292,407.784064,416.129208
Cote d'Ivoire,,,,,,191.932327,294.603464,351.5125449,463.7609849,637.403413,786.522678,504.2002599,399.520836,328.9223381,298.781092,286.7905376,431.6201927,513.644052,528.436883,412.792745,471.222422,446.369302,457,430.241466,355.4091,457,523.683837,495.678411,516.850203,498.509357,390.121157,380.06081,573.908379,627.624906,591.398352,596.9706499,660.4485219,698.3480019,755.629134,743.4078602,725.585317,727.6124089,694.4846683,736.0723919,,649.507976,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4356016,39.5545497,40.5163071,46.6547821,43.9415136,46.4984499,66.7038849,98.483956,99.8666659,137.6132751,183.4581871,237.0470553,267.2291754,235.2036584,235.9450882,248.6645831,247.4401564,267.4006726,297.4137127,275.480862,278.36752
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.8826816,135.1955308,117.0223464,121.0391062,130.2067045,127.391062
Cyprus,,,,,,,4.1413346,3.4303504,4.5513862,7.053303,9.0638287,7.355894,7.7831506,6.6458963,5.6085644,6.2035518,6.9478878,7.2750465,10.929458,9.7043231,12.006639,18.302064,23.801654,24.527288,33.726744,47.522196,53.61226,50.593763,52.141109,52.491239,62.65975,100.768947,116.5847374,201.952434,255.162484,240.6745365,239.5276892,304.737446,817.3555278,694.2698181,952.1998178,894.8870494,760.0341721,741.7862199,833.1507041,677.449032,730.559956
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,6.2499977,55.021464,100.3267625,302.4575084,341.2918162,744.7479393,641.7873779,604.9786658,718.0271097,898.1770329,1102.5669,1435.187032,1162.525512,1460.348168,2075.208552,2586.100789,2044.602212,1496.982253,1522.13785,1334.625944,1079.19862,1523.333419,1376.39232,1658.604736
Denmark,,,,,,,,,,,,,,,,,,,,,,,161,160,200,209,,370,346,694,662,745,860,1030,1230,1487.555951,1766.145536,3019.568954,3976.524431,3425.209651,2825.629395,3133.676451,2949.388021,3059.890597,3171.052342,2774.151424,2900.013312
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36574181,1.3560581,1.496728,1.7611875,1.7780679,1.6880391,4.8390455,4.6702416,4.670241558,4.726509529,4.698375544,5.120385323,5.789974173,11.61933593,12.85723128,12.40708751,12.68842737,13.7293977,12.097682,
Dominica,,,,,,,,,,,,,,,,,4.37037033,1.96296293,1.81481483,2.09999995,1.61481486,1.7592593,1.60370372,1.500000019,2.296296344,0.262962962,0.181481483,0.244444442,0.133333337,0.133333337,0.137037041,0.135925927,0.130307403,0.134074076,0.14088148,0.007144444,0.00742963,0.007896296,0.008055556,0.008085185,0.008016296,0.008038889,1.616552222,1.70158889,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,10.2,7.4,7,8.9,7.6,18.5,17.8,19.3,21.7,22.5,22.9,23.9,24.7,26.6,28.2,34.5,26.9,519.3,565.5,565.2,559,574.8,585,644
Ecuador,,,,,,,23.6,24.8,11.5,43.4,66.9,66.2,125,86,122,114,167,147,188,175,2,3,3,3.01,5,4,9,4.4,5.01,5,6,6.9326731,7.2812531,6.5046942,6.5,54.020037,62.4556271,83.15561815,65.59744357,95.34786585,135.9711525,148.3750735,154.0120397,167.2682111,195.9150637,291.533653,302.374313
